2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2005/07/08 13:01:05 YVR SA 1300  25 FEW M58 OVC 10RA- 089/13.5/11.9/0913/SF1SC10 RMK TR SF UNOFF
2005/07/08 14:03:21 YVR SA 1400  M21 BKN 45 OVC 5RA-FG 087/13.8/12.1/1912/SC7SC3  UNOFF
2005/07/08 15:01:07 YVR SA 1500  M19 BKN 45 OVC 5RA-FG 086/14.2/11.8/1316/SC7SC3 0007  UNOFF
2005/07/08 16:00:57 YVR SA 1600  M21 OVC 10 086/14.3/12.1/1511G17/SC10  UNOFF
2005/07/08 17:02:22 YVR SA 1700  18 SCT M36 OVC 10RA- 088/14.1/12.2/1518/SC5SC5  UNOFF
2005/07/08 18:01:52 YVR SA 1800  18 FEW M33 BKN 56 OVC 10RA- 089/14.2/12.4/1518/SC3SC5SC2 5003  UNOFF
2005/07/08 20:04:27 YVR SA 2000  15 FEW M37 BKN 74 BKN 220 OVC 10 100/16.2/13.3/1411/SC3SC3AC3CI0  UNOFF
2005/07/08 21:04:43 YVR SA 2100  15 FEW M90 BKN 220 OVC 12 100/17.2/13.8/1613G18/SC3AC5CI1 1011  UNOFF
2005/07/08 22:04:40 YVR SA 2200  16 FEW 65 SCT M92 BKN 220 OVC 15 106/18.8/14.5/1412G19/SC3SC1AC2CI2  UNOFF
2005/07/08 23:03:48 YVR SA 2300  16 FEW 50 FEW 160 -BKN M220 BKN 15 106/18.5/13.3/1413/SC2SC1AC2CI1  UNOFF

2005/07/09 00:01:14 YVR SA 0000  20 FEW 50 SCT E180 BKN 15 107/19.1/13.7/1611/SC3SC1AC2 1007  UNOFF
2005/07/09 01:02:41 YVR SA 0100  25 FEW 60 SCT 15 108/18.3/12.9/1411/TCU2SC2  UNOFF
2005/07/09 02:01:10 YVR SA 0200  25 -FEW 70 -FEW 20 109/18.1/12.3/1708/SC1AC1 RMK TCU EMBD UNOFF
2005/07/09 03:01:02 YVR SA 0300  25 FEW 60 -FEW 87 -SCT 20 110/17.7/12.0/1508/TCU1SC1AC1 2003  UNOFF
2005/07/09 04:00:56 YVR SA 0400  25 FEW 60 FEW 90 FEW 20 112/16.1/12.1/1508/TCU1SC1AC1  UNOFF
2005/07/09 05:02:03 YVR SA 0500  25 FEW 60 FEW 85 -SCT 100 -BKN 20 118/15.2/11.5/1504/SC1SC1AC1AC1 RMK TCU ASOCT UNOFF
2005/07/09 06:01:21 YVR SA 0600  25 FEW 84 -SCT 20 121/13.5/11.4/1306/SC1AC2 5011  UNOFF
2005/07/09 07:02:08 YVR SA 0700  30 FEW M65 BKN 75 OVC 15 122/13.8/11.5/1008/SC1SC7AC1  UNOFF
2005/07/09 08:01:49 YVR SA 0800  35 FEW M64 BKN 15 122/13.9/11.1/0907/SC1SC7  UNOFF
2005/07/09 09:01:42 YVR SA 0900  65 FEW 83 -FEW 15 123/13.6/10.2/0902/SC1AC1 2002  UNOFF
2005/07/09 10:01:41 YVR SA 1000  83 -FEW 15 126/12.4/10.2/0905/AC1  UNOFF
2005/07/09 11:01:42 YVR SA 1100  25 FEW 60 SCT M100 BKN 15 128/12.7/10.8/1004/SC1SC3AC2  UNOFF
2005/07/09 12:01:40 YVR SA 1200  100 -SCT 15 130/12.1/10.1/1105/AC3 2007  UNOFF
2005/07/09 13:01:08 YVR SA 1300  20 FEW M79 BKN 20 134/12.7/10.4/1108/SC1AC5  UNOFF
2005/07/09 14:04:54 YVR SA 1400  15 FEW M84 BKN 15 137/14.6/10.6/1310/SC1AC5  UNOFF
2005/07/09 15:03:57 YVR SA 1500  35 SCT M77 BKN 20 142/15.2/10.9/1008/SC4AC3 2012  UNOFF
2005/07/09 16:05:51 YVR SA 1600  15 SCT M45 BKN 80 BKN 20 144/15.3/11.3/1207/SC4SC2AC2  UNOFF
2005/07/09 17:02:33 YVR SA 1700  15 FEW 55 SCT M95 BKN 20 145/16.9/11.7/1309/SC2TCU2AC4  UNOFF
2005/07/09 18:04:27 YVR SA 1800  28 FEW 55 SCT M87 BKN 20 145/17.9/10.5/1408/SC3TCU2AC4 1003  UNOFF
2005/07/09 19:03:33 YVR SA 1900  33 SCT M72 BKN 20 145/17.9/10.3/2008/TCU4AC5  UNOFF
2005/07/09 20:02:29 YVR SA 2000  31 SCT M79 BKN 20 144/18.2/10.2/2009G16/TCU4AC5  UNOFF
2005/07/09 21:05:42 YVR SA 2100  35 FEW M87 BKN 20 143/19.3/10.5/2205/TCU2AC5 0002  UNOFF
2005/07/09 22:02:37 YVR SA 2200  35 FEW 87 SCT 20 140/20.3/9.9/1706/TCU2AC3  UNOFF
2005/07/09 23:05:17 YVR SA 2300  40 FEW M82 BKN 20 138/20.5/10.8/2210G15/TCU3AC4  UNOFF

2005/07/10 00:02:52 YVR SA 0000  40 FEW M130 BKN 20 136/19.6/9.4/2107/TCU2AC6 7007  UNOFF
2005/07/10 01:05:49 YVR SA 0100  40 FEW M120 BKN 20 134/19.7/10.6/2306/TCU2AC4 RMK PCPN DIST N-NE UNOFF
2005/07/10 02:01:58 YVR SA 0200  45 FEW 100 -BKN M240 BKN 30 132/19.4/10.7/2703/TCU2AC2CI2  UNOFF
2005/07/10 03:01:37 YVR SA 0300  40 FEW 100 -SCT 240 -BKN 30 133/18.6/9.9/2703/TCU1AC2CI0 7003  UNOFF
2005/07/10 04:04:51 YVR SA 0400  40 FEW 100 -SCT 30 132/17.0/9.4/2904/TCU1AC2  UNOFF
2005/07/10 05:01:22 YVR SA 0500  40 FEW 90 -SCT 30 134/16.3/9.9/0505/SC1AC1  UNOFF
2005/07/10 06:01:56 YVR SA 0600  40 FEW 90 -SCT 30 133/15.1/10.4/0505/SC1AC1 0000  UNOFF
2005/07/10 07:01:10 YVR SA 0700  90 -FEW 30 131/14.1/9.5/0000/AC1  UNOFF
2005/07/10 08:01:27 YVR SA 0800  90 FEW 30 129/13.6/9.3/0303/AC1  UNOFF
2005/07/10 09:02:19 YVR SA 0900  90 FEW 30 128/13.3/9.1/0000/AC1 7005  UNOFF
2005/07/10 10:01:48 YVR SA 1000  CLR 30 131/12.9/9.1/0000/  UNOFF
2005/07/10 11:01:39 YVR SA 1100  210 FEW 30 134/12.5/9.1/1105/CI1  UNOFF
2005/07/10 12:02:36 YVR SA 1200  CLR 30 136/11.9/9.0/0203/ 2008  UNOFF
2005/07/10 13:02:50 YVR SA 1300  CLR 30 138/12.1/8.4/0902/  UNOFF
2005/07/10 14:03:35 YVR SA 1400  100 FEW 210 FEW 30 140/14.5/9.8/0903/AC1CI1  UNOFF
2005/07/10 15:04:22 YVR SA 1500  40 FEW 210 -FEW 30 142/15.7/9.6/2802/CU1CI1 2006 RMK TR CU UNOFF
2005/07/10 16:02:17 YVR SA 1600  40 FEW 210 -SCT 30 142/16.4/11.0/3005/SC1CI1  UNOFF
2005/07/10 17:02:53 YVR SA 1700  40 FEW 210 -SCT 30 141/16.3/10.8/3105/SC1CI1  UNOFF
2005/07/10 18:02:01 YVR SA 1800  40 FEW 240 -FEW 30 141/17.4/12.4/2606/SC1CI1 6001  UNOFF
2005/07/10 19:02:48 YVR SA 1900  40 FEW 240 -FEW 30 141/18.2/13.1/2907/TCU1CI1  UNOFF
2005/07/10 20:02:35 YVR SA 2000  40 FEW 120 -BKN 240 -BKN 30 140/18.2/12.9/2807/SC1AC1CI1  UNOFF
2005/07/10 21:04:10 YVR SA 2100  40 FEW 170 -OVC 30 138/18.6/13.4/2508G16/TCU1AC3 0003  UNOFF
2005/07/10 22:04:12 YVR SA 2200  40 FEW M160 BKN 220 OVC 30 136/19.4/14.1/2606/SC1AC5CI2  UNOFF
2005/07/10 23:03:24 YVR SA 2300  40 FEW M120 OVC 20 137/20.0/12.4/2108/SC2AC8 RMK TCU TOPS W UNOFF

2005/07/11 00:02:45 YVR SA 0000  40 FEW M120 OVC 20 138/19.8/11.4/1906/SC3AC7 5000  UNOFF
2005/07/11 00:43:16 YVR SP 0041  40 FEW M56 BKN 96 OVC 20RA- /20.0//1606/SC3SC4AC3  UNOFF
2005/07/11 01:02:13 YVR SA 0100  50 SCT M76 OVC 20RA- 139/19.5/12.5/1704/SC4AC6  UNOFF
2005/07/11 02:01:15 YVR SA 0200  35 FEW M57 BKN 75 OVC 15SHRA- 142/18.4/11.5/1007/SF1SC6AC3  UNOFF
2005/07/11 02:49:06 YVR SP 0248  35 FEW M57 BKN 80 OVC 15 /17.8//1007/SF1SC6AC3  UNOFF
2005/07/11 03:01:03 YVR SA 0300  35 FEW M58 BKN 80 OVC 15 144/18.0/11.4/0907/SF1SC6AC3 5006  UNOFF
2005/07/11 04:01:06 YVR SA 0400  M40 BKN 60 BKN 90 OVC 20 146/18.0/10.9/0808/SC6SC1AC2  UNOFF
2005/07/11 04:56:31 YVR SP 0455  40 SCT M65 BKN 90 OVC 15SHRA- /17.2//1112/SC4SC4AC2  UNOFF
2005/07/11 05:01:05 YVR SA 0500  40 SCT M64 BKN 90 OVC 15SHRA- 149/17.2/11.9/1212/SC4SC4AC2  UNOFF
2005/07/11 06:01:23 YVR SA 0600  M26 BKN 30 OVC 15SHRA- 151/16.2/12.1/0910/SC7SC3 2007 RMK PCPN VRY LGT UNOFF
2005/07/11 06:19:30 YVR SP 0618  26 SCT M45 BKN 80 OVC 15 /16.2//0812/SC4SC3AC3  UNOFF
2005/07/11 07:01:16 YVR SA 0700  M21 BKN 45 OVC 15 152/16.0/12.8/0908/SC7SC3  UNOFF
2005/07/11 08:01:05 YVR SA 0800  M21 BKN 40 OVC 15 153/16.2/12.5/0706/SC8SC2  UNOFF
2005/07/11 09:01:27 YVR SA 0900  21 FEW 40 -SCT 85 -BKN 15 149/15.2/12.1/0906/SC2SC1AC2 0002  UNOFF
2005/07/11 10:01:19 YVR SA 1000  M21 BKN 45 OVC 15 149/15.3/12.2/0706/SC7SC1  UNOFF
2005/07/11 11:02:06 YVR SA 1100  25 FEW 45 -SCT 220 -BKN 15 146/15.6/12.1/0806/SC1SC2CI1  UNOFF
2005/07/11 12:01:42 YVR SA 1200  M25 BKN 80 OVC 15 148/15.7/12.5/1105/SC7AC2 5001  UNOFF
2005/07/11 13:02:33 YVR SA 1300  M35 BKN 80 OVC 15SHRA- 148/15.3/12.8/1106/SC7AC3  UNOFF
2005/07/11 14:02:41 YVR SA 1400  M37 BKN 80 OVC 15 146/15.4/13.1/0910/SC8AC2  UNOFF
2005/07/11 14:43:53 YVR SP 1442  M36 BKN 75 OVC 8SHRA- /15.2//1112/SC8AC2  UNOFF
2005/07/11 15:04:04 YVR SA 1500  M36 BKN 75 OVC 10SHRA- 148/15.2/13.4/0910/SC9AC1 5000  UNOFF
2005/07/11 15:54:14 YVR SP 1552  15 FEW M36 BKN 75 OVC 15 /16.0//0813/SF1SC8AC1  UNOFF
2005/07/11 16:03:30 YVR SA 1600  12 FEW M36 BKN 70 OVC 15 151/16.0/13.9/0908/SF1SC8AC1  UNOFF
2005/07/11 16:17:18 YVR SP 1615  12 FEW M38 BKN 70 OVC 10SHRA- /16.1//0811/SF1SC8AC1  UNOFF
2005/07/11 16:44:15 YVR SP 1642  12 FEW M41 BKN 70 OVC 12 /16.6//0908/SF1SC8AC1  UNOFF
2005/07/11 17:03:27 YVR SA 1700  14 FEW M37 BKN 50 OVC 15 150/16.7/13.3/0810/SF1SC8SC1  UNOFF
2005/07/11 18:04:05 YVR SA 1800  M36 BKN 50 OVC 15 150/18.1/14.2/1010/SC9SC1 0002  UNOFF
2005/07/11 19:03:59 YVR SA 1900  M32 BKN 120 BKN 15 146/20.0/14.2/1315/SC8AC1  UNOFF
2005/07/11 19:04:43 YVR SA 1900  M32 BKN 120 BKN 15 154/20.0/14.2/1315/SC8AC1  UNOFF
2005/07/11 20:03:11 YVR SA 2000  M33 BKN 90 BKN 15 156/20.4/13.7/1513/SC7AC2  UNOFF
2005/07/11 22:02:56 YVR SA 2200  M35 BKN 100 BKN 15 156/20.7/13.7/1509/CU7AC2  UNOFF
2005/07/11 23:02:27 YVR SA 2300  M40 BKN 100 BKN 15 157/20.4/14.5/2507/CU8AC1  UNOFF

2005/07/12 00:02:20 YVR SA 0000  30 FEW M53 BKN 100 BKN 15 156/19.3/14.3/3104/SC2SC6AC1 0000  UNOFF
2005/07/12 01:04:00 YVR SA 0100  30 FEW M52 BKN 80 BKN 15 157/20.0/14.3/0203/SF1SC7AC1  UNOFF
2005/07/12 02:01:30 YVR SA 0200  30 FEW 50 SCT M70 BKN 90 BKN 20 157/20.0/14.3/2505/SC1SC3AC3AC2  UNOFF
2005/07/12 03:02:06 YVR SA 0300  30 FEW M51 BKN 70 BKN 90 BKN 20 160/19.5/13.9/3102/SC1SC5AC2AC1 5004 RMK SHS NW UNOFF
2005/07/12 04:01:16 YVR SA 0400  30 FEW M46 BKN 70 BKN 15SHRA- 165/18.6/13.7/2306/SC1SC7AC1  UNOFF
2005/07/12 04:41:58 YVR SP 0439  8 FEW 30 FEW M38 BKN 50 OVC 10SHRA- /16.6//2308/SF1SC2SC6SC1  UNOFF
2005/07/12 05:01:45 YVR SA 0500  8 FEW 30 FEW M40 BKN 50 OVC 10SHRA- 171/17.1/13.6/2203/SF1SC2SC6SC1  UNOFF
2005/07/12 05:12:25 YVR SP 0510  12 FEW 30 FEW M39 BKN 50 BKN 10 /17.3//2105/SF1SC2SC5SC1  UNOFF
2005/07/12 06:01:11 YVR SA 0600  15 FEW 30 FEW M40 BKN 50 BKN 15 173/17.0/13.3/2305/SF1SC2SC4SC2 1013  UNOFF
2005/07/12 06:16:06 YVR SP 0614  15 FEW 30 FEW M40 BKN 50 OVC 15SHRA- /16.7//2804/SF1SC2SC6SC1  UNOFF
2005/07/12 07:02:44 YVR SA 0700  19 FEW 30 FEW M44 BKN 55 OVC 15 176/16.1/12.7/3604/SF1SC2SC6SC1  UNOFF
2005/07/12 08:54:28 YVR SA 0800  19 FEW M41 BKN 50 OVC 12SHRA- 181/15.0/12.6/0903/SF1SC8SC1  UNOFF
2005/07/12 09:03:07 YVR SA 0900  20 FEW M39 BKN 50 OVC 10SHRA- 181/14.8/12.9/0702/SC1SC7SC2 1008  UNOFF
2005/07/12 10:01:41 YVR SA 1000  17 FEW M38 BKN 50 OVC 10 184/15.0/12.9/0404/SC1SC8SC1  UNOFF
2005/07/12 10:15:42 YVR SP 1013  18 FEW M40 BKN 60 OVC 10SHRA- /14.9//0605/SC1SC8SC1  UNOFF
2005/07/12 11:02:20 YVR SA 1100  25 FEW M50 BKN 60 OVC 10SHRA- 184/15.0/13.1/0704/SC1SC6SC3  UNOFF
2005/07/12 11:40:13 YVR SP 1137  25 FEW M51 BKN 70 OVC 10 /14.8//0904/SC1SC6AC3  UNOFF
2005/07/12 12:01:48 YVR SA 1200  25 FEW M49 BKN 90 OVC 15 189/14.7/13.0/0904/SC1SC7AC2 2008  UNOFF
2005/07/12 13:02:38 YVR SA 1300  30 FEW 51 SCT M90 BKN 15 194/14.9/12.9/1106/SC1SC4AC4  UNOFF
2005/07/12 14:03:57 YVR SA 1400  30 FEW M61 BKN 85 BKN 15 199/15.3/13.1/0909/SC1SC5AC3  UNOFF
2005/07/12 15:03:49 YVR SA 1500  25 FEW M60 BKN 85 BKN 15 204/16.1/13.7/1007/SF1SC5AC2 2015  UNOFF
2005/07/12 17:04:59 YVR SA 1700  25 FEW M77 BKN 20 212/19.2/12.6/0902/CU3AC3 RMK TCU ASOCT UNOFF
2005/07/12 18:02:38 YVR SA 1800  30 SCT M78 BKN 20 215/19.4/12.3/1305/CU5AC3 2011 RMK TCU ASOCT UNOFF
2005/07/12 19:03:17 YVR SA 1900  30 SCT M80 BKN 20 216/20.0/12.7/0000/CU4AC4 RMK TCU ASOCT UNOFF
2005/07/12 20:03:38 YVR SA 2000  35 FEW M78 BKN 20 216/21.5/13.0/2209/TCU3AC4  UNOFF
2005/07/12 21:03:39 YVR SA 2100  40 FEW M85 BKN 20 220/20.7/12.0/2308G15/TCU2AC5 2005  UNOFF
2005/07/12 22:02:23 YVR SA 2200  40 FEW M83 BKN 20 220/21.8/11.7/2110/TCU2AC4  UNOFF
2005/07/12 23:02:55 YVR SA 2300  45 FEW 85 SCT 20 220/21.5/11.6/2305/TCU1AC3  UNOFF

2005/07/13 00:04:05 YVR SA 0000  50 FEW 85 SCT 20 217/21.9/12.2/2209G15/TCU1AC3 0003  UNOFF
2005/07/13 01:01:59 YVR SA 0100  55 FEW 100 SCT 20 217/21.4/11.5/2207/TCU1AC4  UNOFF
2005/07/13 02:01:05 YVR SA 0200  50 FEW 90 SCT 20 215/21.0/11.8/2306/TCU1AC4  UNOFF
2005/07/13 03:02:52 YVR SA 0300  50 FEW 70 SCT M90 BKN 20 215/19.9/11.5/2002/TCU1AC3AC2 7002  UNOFF
2005/07/13 04:01:48 YVR SA 0400  50 FEW 75 SCT M90 BKN 20 216/19.3/12.0/2203/TCU1AC4AC2  UNOFF
2005/07/13 05:01:30 YVR SA 0500  50 SCT M70 BKN 90 BKN 20 219/18.9/12.0/0000/SC4AC2AC1  UNOFF
2005/07/13 06:02:21 YVR SA 0600  50 SCT M70 BKN 90 BKN 15 220/18.3/13.1/2803/SC4AC3AC1 2005  UNOFF
2005/07/13 07:01:08 YVR SA 0700  50 SCT 70 SCT M100 BKN 15 219/17.8/13.5/2805/SC4AC1AC1  UNOFF
2005/07/13 08:03:35 YVR SA 0800  30 FEW 50 SCT M70 BKN 15 220/17.2/13.4/3004/SC2SC3AC3  UNOFF
2005/07/13 09:01:27 YVR SA 0900  45 SCT M80 BKN 15 220/17.7/12.9/2607/SC5AC3 5000  UNOFF
2005/07/13 10:03:23 YVR SA 1000  45 SCT E70 BKN 100 BKN 15 222/16.9/12.9/3011/SC5AC2AC1  UNOFF
2005/07/13 11:01:02 YVR SA 1100  40 FEW E50 BKN 80 BKN 15 223/16.6/13.1/2909/SC2SC4AC2  UNOFF
2005/07/13 12:01:21 YVR SA 1200  M53 BKN 80 BKN 15 227/16.2/13.2/2912/SC6AC2 5007  UNOFF
2005/07/13 13:01:39 YVR SA 1300  12 FEW M65 BKN 90 BKN 20 232/16.1/13.9/3012/SF1SC5AC1  UNOFF
2005/07/13 14:02:33 YVR SA 1400  M11 BKN 90 BKN 20 234/16.6/14.2/2911/SC7AC2  UNOFF
2005/07/13 15:01:46 YVR SA 1500  M12 BKN 90 BKN 20 238/17.1/14.5/2814/SC7AC1 2011  UNOFF
2005/07/13 16:02:36 YVR SA 1600  M11 BKN 20 241/17.0/14.2/2910/SC8  UNOFF
2005/07/13 17:03:29 YVR SA 1700  M13 BKN 20 245/18.0/14.5/2910/SC9  UNOFF
2005/07/13 18:02:38 YVR SA 1800  M16 BKN 20 252/18.1/14.6/2810/SC9 2014  UNOFF
2005/07/13 18:49:29 YVR SP 1848  16 FEW 100 SCT 20 /18.9//2809/SC3AC1 RMK TCU ASOCT UNOFF
2005/07/13 19:04:16 YVR SA 1900  16 FEW 100 SCT 20 253/19.6/15.0/3008/SC3AC1  UNOFF
2005/07/13 19:04:34 YVR SA 1900  16 FEW 100 SCT 20 253/19.6/15.0/3008/SC3AC1 RMK TCU ASOCT UNOFF
2005/07/13 20:04:33 YVR SA 2000  25 FEW 100 -SCT 20 255/20.3/14.3/2805/TCU2AC1  UNOFF
2005/07/13 21:04:17 YVR SA 2100  30 FEW 100 FEW 20 255/20.8/14.8/2305/TCU2AC1 1003  UNOFF
2005/07/13 22:03:42 YVR SA 2200  35 FEW 100 FEW 20 254/19.9/13.7/2506/TCU2AC1  UNOFF
2005/07/13 23:03:21 YVR SA 2300  40 FEW 100 FEW 230 FEW 20 252/21.3/13.3/2108/TCU1AC1CI1  UNOFF

2005/07/14 00:03:15 YVR SA 0000  45 FEW 220 SCT 20 249/21.6/13.1/2108/TCU1CI3 7006  UNOFF
2005/07/14 01:02:35 YVR SA 0100  50 FEW 220 -SCT 20 245/21.8/12.3/2107/TCU1CI2  UNOFF
2005/07/14 02:02:16 YVR SA 0200  50 FEW 220 SCT 30 240/22.1/12.8/2005/CU1CI3  UNOFF
2005/07/14 03:01:28 YVR SA 0300  50 FEW 230 FEW 30 243/21.4/12.0/2006/CU1CI1 5006  UNOFF
2005/07/14 04:02:58 YVR SA 0400  50 FEW 230 FEW 30 243/20.4/11.5/1706/SC1CI1  UNOFF
2005/07/14 05:02:07 YVR SA 0500  45 FEW 220 -FEW 30 245/18.2/12.5/1104/SC1CI1  UNOFF
2005/07/14 06:01:13 YVR SA 0600  45 FEW 220 -FEW 30 245/18.0/12.6/0804/SC1CI1 2002  UNOFF
2005/07/14 07:01:43 YVR SA 0700  45 FEW 220 FEW 30 243/16.7/12.2/0905/SC1CI1  UNOFF
2005/07/14 08:01:07 YVR SA 0800  45 FEW 220 -FEW 30 243/16.6/13.1/1106/SC1CI0  UNOFF
2005/07/14 09:03:13 YVR SA 0900  45 FEW 220 -FEW 30 243/15.7/12.6/1307/SC1CI0 6002  UNOFF
2005/07/14 10:02:35 YVR SA 1000  45 FEW 220 -FEW 20 243/15.3/12.2/1306/SC1CI0  UNOFF
2005/07/14 11:02:43 YVR SA 1100  220 -FEW 20 243/13.9/11.8/1004/CI1  UNOFF
2005/07/14 12:01:04 YVR SA 1200  220 -FEW 30 243/14.5/12.2/1402/CI1 4000  UNOFF
2005/07/14 13:01:04 YVR SA 1300  80 FEW 220 -SCT 20 243/14.5/12.0/0000/AC1CI1  UNOFF
2005/07/14 14:02:36 YVR SA 1400  15 FEW 80 FEW M220 BKN 20 244/14.8/11.8/1502/SF1AC1CI5  UNOFF
2005/07/14 15:03:07 YVR SA 1500  25 FEW 220 -BKN 20 243/16.0/11.7/1403/SC1CI4 0000  UNOFF
2005/07/14 16:02:25 YVR SA 1600  30 FEW 220 -BKN 20 242/18.5/12.2/0000/CU1CI3  UNOFF
2005/07/14 17:02:42 YVR SA 1700  30 FEW 120 FEW 220 -BKN 20 239/18.0/13.8/2505/CU2AC1CI2  UNOFF
2005/07/14 18:01:43 YVR SA 1800  35 FEW M220 BKN 20 237/18.9/14.1/2706/CU2CI5 7006  UNOFF
2005/07/14 19:03:36 YVR SA 1900  40 FEW M220 BKN 20 234/19.3/14.3/2808/CU2CI4  UNOFF
2005/07/14 20:03:35 YVR SA 2000  40 FEW M220 BKN 20 227/19.7/15.0/2908/CU1CI6  UNOFF
2005/07/14 21:05:17 YVR SA 2100  45 FEW 120 FEW M220 BKN 20 223/20.1/14.7/2909/CU1AC1CI4 7014  UNOFF
2005/07/14 22:04:36 YVR SA 2200  50 FEW 120 FEW M220 BKN 20 214/19.9/14.8/2806/CU1AC1CI4  UNOFF
2005/07/14 23:01:41 YVR SA 2300  50 FEW 130 FEW 220 -SCT 20 207/20.4/14.8/2508/CU1AC1CI2  UNOFF

2005/07/15 00:02:43 YVR SA 0000  50 FEW M220 BKN 20 197/20.6/14.1/2905/CU1CI6 7026  UNOFF
2005/07/15 01:03:19 YVR SA 0100  55 FEW M220 BKN 20 186/20.5/14.4/2806/CU1CI6  UNOFF
2005/07/15 02:01:39 YVR SA 0200  50 FEW 240 -BKN 30 179/19.7/14.3/2808/CU1CI4  UNOFF
2005/07/15 03:02:57 YVR SA 0300  100 FEW 240 -BKN 30 173/20.1/13.5/3107/AC1CI3 6024  UNOFF
2005/07/15 04:00:58 YVR SA 0400  150 FEW 240 -BKN 30 167/19.3/13.3/3109/AC1CI3  UNOFF
2005/07/15 05:01:05 YVR SA 0500  150 FEW 240 -SCT 30 165/18.9/13.8/3109/AC1CI2  UNOFF
2005/07/15 06:01:10 YVR SA 0600  140 FEW 240 -SCT 30 161/18.3/13.6/3010/AC1CI2 7012  UNOFF
2005/07/15 07:01:01 YVR SA 0700  140 FEW 240 -SCT 30 156/17.9/14.3/3107/AC1CI1  UNOFF
2005/07/15 08:01:03 YVR SA 0800  140 FEW 240 -BKN 30 152/18.1/15.0/3108/AC1CI3  UNOFF
2005/07/15 09:03:07 YVR SA 0900  230 -BKN 30 151/17.8/15.0/3008/CI3 6010  UNOFF
2005/07/15 10:02:42 YVR SA 1000  220 -BKN 30 147/17.3/14.3/3206/CI4  UNOFF
2005/07/15 11:02:28 YVR SA 1100  160 SCT M220 BKN 20 146/17.7/15.1/3208/AC4CI3  UNOFF
2005/07/15 12:01:02 YVR SA 1200  80 FEW M140 BKN 220 BKN 20 144/17.8/14.6/3211/AC2AC5CI2 6007  UNOFF
2005/07/15 13:02:17 YVR SA 1300  50 FEW 80 FEW M130 BKN 220 BKN 30 149/17.6/14.7/3009/SC1AC2AC5CI1  UNOFF
2005/07/15 13:30:15 YVR SP 1328  50 FEW 70 FEW M100 BKN 150 BKN 20SHRA- /17.7//3307/SC1AC2AC4AC2  UNOFF
2005/07/15 14:02:39 YVR SA 1400  40 FEW M60 BKN 90 OVC 12SHRA- 147/17.4/15.0/3202/SC3SC4AC3  UNOFF
2005/07/15 15:02:59 YVR SA 1500  20 FEW 60 SCT M100 BKN 150 OVC 15SHRA- 148/17.3/14.2/1804/SF1SC3AC4AC2 0004  UNOFF
2005/07/15 16:01:32 YVR SA 1600  12 FEW 50 SCT M110 OVC 10SHRA- 154/17.6/15.1/0103/SF2SC2AC6  UNOFF
2005/07/15 17:01:39 YVR SA 1700  10 SCT M50 BKN 90 OVC 10SHRA- 155/17.3/15.0/3211/SF5SC2AC3  UNOFF
2005/07/15 18:01:45 YVR SA 1800  11 FEW M60 BKN 90 OVC 12SHRA- 156/17.4/15.3/3307/SF3SC4AC3 1008  UNOFF
2005/07/15 19:03:08 YVR SA 1900  12 FEW M55 BKN 85 OVC 12SHRA- 153/18.4/15.5/0703/SF2SC4AC4  UNOFF
2005/07/15 19:28:11 YVR SP 1926  12 FEW 55 SCT M67 BKN 75 OVC 15 /18.6//1303/SF1SC3AC2AC4  UNOFF
2005/07/15 20:01:17 YVR SA 2000  15 FEW M55 BKN 85 OVC 15 154/19.0/15.4/2405/SC3SC4AC3  UNOFF
2005/07/15 20:14:50 YVR SP 2013  14 SCT M55 BKN 85 OVC 15SHRA- /18.0//2405/SC5SC2AC3  UNOFF
2005/07/15 20:54:25 YVR SP 2053  16 SCT M55 BKN 85 OVC 15 /18.2//2305/SC5SC2AC3  UNOFF
2005/07/15 21:01:00 YVR SA 2100  M17 BKN 55 BKN 87 OVC 15 153/18.3/15.4/2405/SC6SC2AC2 7003  UNOFF
2005/07/15 21:28:45 YVR SP 2127  M14 BKN 45 OVC 15 /18.0//2305/SC7SC3  UNOFF
2005/07/15 21:43:46 YVR SP 2142  M16 BKN 45 OVC 15 /17.7//2104/SC7SC3  UNOFF
2005/07/15 22:01:36 YVR SA 2200  17 SCT M75 BKN 85 OVC 15 155/18.6/15.4/1704/SC4AC4AC2  UNOFF
2005/07/15 23:03:25 YVR SA 2300  M21 BKN 70 OVC 12 154/18.7/15.5/1507/SC7AC3  UNOFF

2005/07/16 00:02:39 YVR SA 0000  17 FEW M76 OVC 15 152/18.7/14.5/1209/SC3AC7 5001  UNOFF
2005/07/16 01:01:50 YVR SA 0100  17 FEW M66 BKN 75 OVC 15 149/17.9/13.8/1109/SC3AC4AC3  UNOFF
2005/07/16 02:02:41 YVR SA 0200  17 FEW 34 FEW M64 OVC 15 147/17.7/13.2/1309/SC1SC2SC7  UNOFF
2005/07/16 03:01:35 YVR SA 0300  17 FEW 40 SCT M65 OVC 15 144/17.3/12.6/1309/SC1SC3SC6 7008  UNOFF
