2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/04/12 12:03:27 YVR SA 1200  20 FEW M45 BKN 200 OVC 15 125/4.5/2.3/0608/SC1SC8CI1 0024  UNOFF
2005/04/12 13:01:01 YVR SA 1300  M42 BKN 230 OVC 15 120/3.3/2.0/1008/SC6CI3  UNOFF
2005/04/12 14:02:33 YVR SA 1400  42 -SCT M230 OVC 15 113/2.9/2.1/0806/SC3CI4  UNOFF
2005/04/12 15:01:02 YVR SA 1500  40 FEW M170 OVC 15 108/4.3/3.0/1008/SC1AC8 0017  UNOFF
2005/04/12 16:01:00 YVR SA 1600  M170 OVC 15 103/5.3/3.2/1011/AC9  UNOFF
2005/04/12 17:01:55 YVR SA 1700  M160 OVC 30 097/6.2/3.2/0913/AC10  UNOFF
2005/04/12 18:01:19 YVR SA 1800  M140 OVC 30 095/7.8/3.5/1014/AC9 5013  UNOFF
2005/04/12 19:01:00 YVR SA 1900  85 FEW M100 OVC 30 095/7.9/3.2/0913/AC1AC9  UNOFF
2005/04/12 19:58:31 YVR SP 1957  33 FEW M45 OVC 15SHRA- ///1115G22/SC3SC7  UNOFF
2005/04/12 20:01:08 YVR SA 2000  25 SCT M38 OVC 15SHRA- 101/8.0/1.4/1214G21/SC4SC6 RMK SHS DIST N QUAD NE QUAD UNOFF
2005/04/12 20:50:33 YVR SP 2048  30 SCT M40 OVC 15 ///0812G18/SC4SC6  UNOFF
2005/04/12 21:01:01 YVR SA 2100  30 FEW M43 OVC 15SHRA- 105/8.1/2.1/1014/SC2SC8 2010  UNOFF
2005/04/12 21:55:58 YVR SP 2149  M31 BKN 45 OVC 6SHRA- ///1317G24/SC7SC3  UNOFF
2005/04/12 22:01:47 YVR SA 2200  M30 BKN 40 OVC 6SHRA- 110/6.4/4.2/0917/SC8SC2  UNOFF
2005/04/12 22:09:47 YVR SP 2208  30 SCT M45 OVC 7SHRA- ///0812G18/SC4SC6  UNOFF
2005/04/12 22:32:20 YVR SP 2231  30 FEW M45 OVC 12 ///0710/SC3SC7  UNOFF
2005/04/12 22:33:01 YVR SP 2231  30 FEW M45 OVC 7 ///0710/SC3SC7  UNOFF
2005/04/12 23:01:06 YVR SA 2300  M32 BKN 45 OVC 15 113/9.0/4.4/1312G17/SC7SC2  UNOFF
2005/04/12 23:58:34 YVR SP 2357  33 SCT M40 OVC 15SHRA- ///1320/SC4SC6  UNOFF

2005/04/13 00:01:07 YVR SA 0000  33 FEW M40 OVC 15SHRA- 115/8.7/3.9/1318/SC3SC7 1010  UNOFF
2005/04/13 00:27:31 YVR SP 0026  15 FEW M20 OVC 6SHRA- ///2504/SC3SC7 RMK VIS N QUAD LWR 3 SM UNOFF
2005/04/13 00:36:28 YVR SP 0035  15 FEW M20 OVC 6TSSHRA- ///2504/CB3SC7 RMK CB NE UNOFF
2005/04/13 00:51:25 YVR SP 0050  20 SCT 41 SCT M55 BKN 220 BKN 7 ///0205/CB4SC1SC3CI1 RMK VIS S - W QUAD HIER 15 SM CB N - NE QUAD UNOFF
2005/04/13 01:01:36 YVR SA 0100  20 FEW 35 SCT M65 BKN 140 OVC 15 119/8.2/3.6/0203/CF1CB4SC2AC2 RMK CB N - NE QUAD SHS DIST NE UNOFF
2005/04/13 02:04:52 YVR SA 0200  M36 BKN 60 BKN 90 OVC 15 130/6.6/4.4/0910/SC6SC2AC2  UNOFF
2005/04/13 03:02:57 YVR SA 0300  M38 BKN 180 OVC 15 136/6.2/4.5/0812/SC6AC2 5021  UNOFF
2005/04/13 04:02:22 YVR SA 0400  41 SCT M120 BKN 210 BKN 15 144/5.2/4.1/0912/SC5AC1CI1  UNOFF
2005/04/13 05:01:08 YVR SA 0500  40 FEW 140 SCT 15 148/4.9/3.9/1111/SC2AC2  UNOFF
2005/04/13 06:02:42 YVR SA 0600  15 FEW M26 BKN 15 153/4.6/3.7/1011/SC1SC5 2017  UNOFF
2005/04/13 07:02:00 YVR SA 0700  24 SCT 15 156/4.0/2.9/0809/SC4  UNOFF
2005/04/13 08:02:03 YVR SA 0800  40 FEW 100 SCT 220 -BKN 15 158/4.0/2.9/0809/SC2AC2CI0  UNOFF
2005/04/13 09:05:36 YVR SA 0900  60 FEW 100 SCT 15PRFG 158/4.4/3.0/0911/SC2AC2 1005 RMK VIS N LWR UNOFF
2005/04/13 10:04:41 YVR SA 1000  41 FEW M64 OVC 15 157/4.8/3.0/0709/SC2SC8  UNOFF
2005/04/13 11:00:55 YVR SP 1057  30 SCT M47 OVC 12SHRA- ///0906/SC4SC6  UNOFF
2005/04/13 11:02:57 YVR SA 1100  30 SCT M47 OVC 12SHRA- 158/5.2/3.2/0906/SC4SC6  UNOFF
2005/04/13 12:01:06 YVR SA 1200  M37 BKN 50 OVC 12SHRA- 159/5.1/2.9/0807/SC6SC3 5001  UNOFF
2005/04/13 12:33:47 YVR SP 1232  M42 OVC 15 ///0809/SC10  UNOFF
2005/04/13 13:03:42 YVR SA 1300  M41 OVC 12 164/5.3/3.2/1009/SC10  UNOFF
2005/04/13 14:01:06 YVR SA 1400  37 FEW M41 OVC 15 170/5.1/3.4/1011/CF1SC8 RMK SHS DIST W QUAD UNOFF
2005/04/13 15:00:59 YVR SA 1500  M30 BKN 40 OVC 15 175/5.4/3.5/0810/SC7SC3 2016 RMK SHS DIST N QUAD UNOFF
2005/04/13 16:00:59 YVR SA 1600  M35 BKN 15 177/6.7/3.9/0814/SC8  UNOFF
2005/04/13 17:01:16 YVR SA 1700  40 -SCT 100 -SCT 15 177/8.6/4.4/0911/SC2AC1  UNOFF
2005/04/13 18:01:08 YVR SA 1800  35 FEW M40 BKN 70 BKN 15 178/9.3/2.3/1812G17/CF1SC6AC1 2003  UNOFF
2005/04/13 19:01:02 YVR SA 1900  M38 BKN 15 181/9.7/2.7/1110/SC8  UNOFF
2005/04/13 20:01:57 YVR SA 2000  M45 BKN 56 BKN 20 182/10.2/2.5/1210/SC6SC2  UNOFF
2005/04/13 21:01:00 YVR SA 2100  40 FEW 65 -BKN 220 -BKN 20 184/11.6/2.2/1508/SC3SC1CI1 2006 RMK SHS DIST N QUAD TCU ASOCT UNOFF
2005/04/13 22:03:53 YVR SA 2200  35 -FEW 40 -SCT 100 -BKN 220 -BKN 15 185/12.4/2.7/1406/CU2SC1AC1CI1  UNOFF
2005/04/13 22:05:01 YVR SA 2200  35 -FEW 40 -SCT 100 -BKN 220 -BKN 20 185/12.4/2.7/1406/CU2SC1AC1CI1  UNOFF
Warning: at line 255: duplicated data: prev hr = 14 PST  current hr = 14 PST
2005/04/13 23:01:57 YVR SA 2300  40 FEW 45 SCT M100 BKN 200 BKN 20 187/11.4/0.4/2103/CF1SC3AC2CI2 RMK SHS DIST N QUAD UNOFF

2005/04/14 00:01:12 YVR SA 0000  38 -SCT M95 BKN 220 BKN 20 192/10.6/3.3/3004/SC3AC3CI2 5008 RMK SHS DIST NE QUAD UNOFF
2005/04/14 01:01:00 YVR SA 0100  40 -FEW 45 -SCT 100 -BKN 220 -BKN 20 195/9.7/5.6/2909/CF1SC2AC1CI1 RMK SHS DIST NE QUAD UNOFF
2005/04/14 02:02:56 YVR SA 0200  M50 BKN 220 BKN 20 197/8.4/5.7/3109/SC6CI2  UNOFF
2005/04/14 03:06:11 YVR SA 0300  41 SCT M72 BKN 140 BKN 20 200/7.3/4.8/3104/SC5AC2AC1 2008  UNOFF
2005/04/14 04:03:08 YVR SA 0400  38 SCT M71 BKN 120 BKN 20 204/7.3/4.5/2804/SC4AC2AC1  UNOFF
2005/04/14 05:02:49 YVR SA 0500  42 SCT 80 SCT 20 205/5.9/4.0/3103/SC4AC1  UNOFF
2005/04/14 06:01:07 YVR SA 0600  40 FEW 200 -BKN 15 210/6.8/4.5/0000/SC3CI1 2010  UNOFF
2005/04/14 07:03:26 YVR SA 0700  M71 OVC 15 215/6.5/4.5/0000/AC10  UNOFF
2005/04/14 08:01:41 YVR SA 0800  M77 BKN 120 OVC 15 218/6.4/4.4/0903/AC7AC2  UNOFF
2005/04/14 09:02:48 YVR SA 0900  M61 OVC 15 221/6.7/4.3/1002/SC10 2011  UNOFF
2005/04/14 10:01:19 YVR SA 1000  14 FEW M71 OVC 15 225/6.4/4.1/1004/SC3AC7  UNOFF
2005/04/14 11:02:28 YVR SA 1100  14 FEW M59 OVC 15 231/6.5/4.5/0903/SC2SC8  UNOFF
2005/04/14 12:01:57 YVR SA 1200  12 FEW M40 BKN 15 236/6.2/4.4/0902/SC2SC6 2015  UNOFF
2005/04/14 13:03:01 YVR SA 1300  42 SCT M60 BKN 15 242/4.7/3.7/0703/SC4SC3  UNOFF
2005/04/14 14:01:11 YVR SA 1400  14 FEW M38 BKN 60 BKN 20 248/5.7/4.4/1102/SF3SC3SC1  UNOFF
2005/04/14 15:02:33 YVR SA 1500  16 SCT M30 BKN 60 BKN 20 253/7.2/2.7/2307/SC4SC2SC1 2017 RMK TCU EMBD UNOFF
2005/04/14 16:03:15 YVR SA 1600  20 FEW 40 SCT M55 BKN 20 258/7.7/3.0/2204/TCU2SC2SC4  UNOFF
2005/04/14 17:01:46 YVR SA 1700  25 FEW 40 FEW 60 FEW 220 -SCT 30 260/9.1/2.5/2204/TCU1CU1SC1CI0  UNOFF
2005/04/14 18:02:50 YVR SA 1800  30 FEW 50 FEW 90 FEW 30 262/10.3/1.7/2106/TCU1CU1AC1 2009  UNOFF
2005/04/14 19:02:06 YVR SA 1900  40 FEW 90 FEW 220 -SCT 30 264/10.6/3.0/2009/TCU2AC1CI1  UNOFF
2005/04/14 20:04:35 YVR SA 2000  40 FEW 90 SCT 220 -BKN 30 261/10.6/3.0/1912G17/TCU3AC2CI0  UNOFF
2005/04/14 21:03:38 YVR SA 2100  40 FEW 80 FEW 220 -BKN 30 260/11.7/3.3/1812/TCU2AC1CI1 0002  UNOFF
2005/04/14 22:01:58 YVR SA 2200  40 FEW 80 FEW 240 -BKN 30 258/11.7/3.1/2014/CU2AC1CI0  UNOFF
2005/04/14 22:03:14 YVR SA 2200  40 FEW 80 FEW 240 -BKN 30 258/11.7/3.1/2014/CU2AC1CI0 RMK TCU ASOCTD UNOFF
Warning: at line 281: duplicated data: prev hr = 14 PST  current hr = 14 PST
2005/04/14 23:01:42 YVR SA 2300  40 FEW 240 -BKN 30 256/11.3/2.6/1813/TCU3CI1  UNOFF

2005/04/15 00:01:30 YVR SA 0000  40 FEW 80 FEW 240 -BKN 30 251/10.9/0.7/1911/TCU1AC1CI1 7009  UNOFF
2005/04/15 01:01:09 YVR SA 0100  40 FEW 85 SCT 240 -BKN 30 247/10.9/2.1/1907/TCU1AC3CI1  UNOFF
2005/04/15 02:02:23 YVR SA 0200  40 FEW 80 -BKN 220 -BKN 30 241/10.5/0.6/1608/SC2AC1CI0  UNOFF
2005/04/15 03:03:13 YVR SA 0300  45 FEW 75 -BKN 220 -BKN 20 240/10.0/0.9/1306/SC3AC1CI0 6011  UNOFF
2005/04/15 04:01:16 YVR SA 0400  55 SCT 220 -BKN 20 240/9.7/2.7/1505/SC4CI0  UNOFF
2005/04/15 05:02:59 YVR SA 0500  60 -BKN 220 -BKN 20 238/8.1/4.3/0909/SC5CI0  UNOFF
2005/04/15 06:00:46 YVR SA 0600  45 FEW M70 BKN 220 BKN 15 235/7.6/3.8/0910/SC2AC4CI0 0005  UNOFF
2005/04/15 07:01:40 YVR SA 0700  45 FEW M85 BKN 15 229/7.5/3.6/0911/SC1AS7  UNOFF
2005/04/15 08:01:45 YVR SA 0800  45 FEW M80 OVC 15 225/7.4/3.3/0912/SC1AC9  UNOFF
2005/04/15 09:01:14 YVR SA 0900  45 FEW M65 OVC 15 221/7.4/3.1/0912/SC1SC9 7014  UNOFF
2005/04/15 10:02:03 YVR SA 1000  35 FEW M45 OVC 12RA- 215/7.5/3.1/1011/SC2SC8  UNOFF
2005/04/15 11:03:08 YVR SA 1100  35 SCT M70 OVC 8RA- 209/7.1/3.8/1014/SC4AC6  UNOFF
2005/04/15 12:02:36 YVR SA 1200  45 SCT M70 OVC 8RA- 204/7.0/3.8/0815/SC4AC6 7017 RMK PCPN VRY LGT UNOFF
2005/04/15 13:03:36 YVR SA 1300  24 SCT M45 OVC 8RA- 203/6.7/3.7/0719/SC4SC6  UNOFF
2005/04/15 14:01:05 YVR SA 1400  15 FEW M32 BKN 45 OVC 10RA- 200/6.1/4.3/0917G22/SF2SC4SC4  UNOFF
2005/04/15 15:02:44 YVR SA 1500  15 FEW M24 BKN 40 OVC 10RA- 200/5.9/4.4/0916G24/SF2SC6SC2 6004  UNOFF
2005/04/15 16:01:56 YVR SA 1600  15 FEW M25 BKN 35 OVC 6RA- 197/6.2/4.8/0816/SF2SC5SC3  UNOFF
2005/04/15 17:02:29 YVR SA 1700  20 FEW M29 BKN 40 OVC 10RA- 195/6.6/4.6/0814G20/SF2SC6SC2  UNOFF
2005/04/15 18:02:34 YVR SA 1800  20 FEW M31 BKN 45 OVC 10RA- 194/7.2/4.9/0913/SF2SC5SC3 6006  UNOFF
2005/04/15 19:01:44 YVR SA 1900  20 FEW M35 BKN 55 OVC 10RA- 191/7.4/4.8/0814G19/SF2SC5SC3  UNOFF
2005/04/15 20:02:43 YVR SA 2000  20 SCT M30 BKN 40 OVC 8RA- 189/7.2/5.2/0713/SF4SC4SC2  UNOFF
2005/04/15 21:01:47 YVR SA 2100  20 SCT M27 BKN 40 OVC 8RA- 187/7.1/5.6/0714/SF4SC4SC2 7007  UNOFF
2005/04/15 22:00:57 YVR SA 2200  M18 BKN 30 BKN 40 OVC 8RA- 182/6.9/5.6/0712G18/SC6SC2SC2  UNOFF
2005/04/15 23:01:52 YVR SA 2300  M17 BKN 30 BKN 40 OVC 8RA- 174/6.7/5.7/0812/SC7SC2SC1  UNOFF

2005/04/16 00:01:13 YVR SA 0000  M17 BKN 30 OVC 8RA- 167/7.1/6.0/0713/SC8SC2 7020  UNOFF
2005/04/16 01:01:18 YVR SA 0100  M19 BKN 30 OVC 10RA- 158/7.3/6.2/0713/SC7SC3  UNOFF
2005/04/16 02:01:23 YVR SA 0200  M17 OVC 8RA- 148/7.0/6.1/0914/SC10  UNOFF
2005/04/16 03:01:38 YVR SA 0300  M17 OVC 10RA- 140/7.1/6.2/0813/SC10 7027  UNOFF
2005/04/16 04:01:38 YVR SA 0400  M18 BKN 30 OVC 10RA- 133/7.0/6.3/0910G15/SC7SC3  UNOFF
2005/04/16 05:01:39 YVR SA 0500  18 FEW M26 OVC 10RA- 124/7.0/6.6/0809/SC3SC7  UNOFF
2005/04/16 06:01:40 YVR SA 0600  18 FEW M26 BKN 60 OVC 10RA- 112/6.7/6.4/0909/SC2SC6SC2 7028  UNOFF
2005/04/16 07:01:11 YVR SA 0700  M24 BKN 60 OVC 8RA- 097/6.8/6.5/0811/SC8SC2  UNOFF
2005/04/16 08:01:04 YVR SA 0800  M22 OVC 8RA- 083/7.2/6.8/0912G17/SC10  UNOFF
2005/04/16 09:02:01 YVR SA 0900  M24 OVC 10RA- 077/7.6/7.0/1013/SC10 7035  UNOFF
2005/04/16 10:02:12 YVR SA 1000  M24 BKN 32 OVC 10RA- 069/7.3/6.8/0916/SC8SC2  UNOFF
2005/04/16 11:05:48 YVR SA 1100  M18 BKN 50 OVC 10RA- 062/7.5/7.2/0913/SC8SC2  UNOFF
2005/04/16 12:02:32 YVR SA 1200  M12 BKN 24 OVC 10RA- 055/8.3/8.1/1014/SC8SC2 6022  UNOFF
2005/04/16 13:03:47 YVR SA 1300  M8 BKN 18 OVC 8RA 062/9.8/9.6/1906/SC7SC3  UNOFF
2005/04/16 13:17:48 YVR SP 1316  8 FEW 14 FEW M55 OVC 8RA- ///1809/SF1SC2SC7  UNOFF
2005/04/16 14:03:17 YVR SA 1400  7 FEW 15 FEW M52 BKN 70 OVC 10RA- 063/9.7/8.8/2013/SF1SF1SC6AC2  UNOFF
2005/04/16 15:03:36 YVR SA 1500  9 FEW 20 FEW M45 BKN 60 BKN 10RA- 069/9.0/7.2/2213G18/SF1SF1SC6SC1 2014 RMK VIS W 20 UNOFF
2005/04/16 16:02:24 YVR SA 1600  10 FEW M45 BKN 70 BKN 15RA- 074/8.8/5.8/2210/SF1SC5AC3 RMK VIS SW - W 30 UNOFF
2005/04/16 16:12:42 YVR SP 1610  10 FEW M50 BKN 80 BKN 15 ///2312/SF1SC5AC3 RMK VIS SW - W 30 UNOFF
2005/04/16 17:03:34 YVR SA 1700  15 FEW 50 SCT M100 BKN 20 085/8.8/6.1/1909/SF1SC4AC3  UNOFF
2005/04/16 18:02:37 YVR SA 1800  25 FEW 60 SCT M150 BKN 20 100/10.0/5.4/1705/SF1SC4AC2 5031  UNOFF
2005/04/16 19:02:53 YVR SA 1900  20 FEW 40 FEW 150 FEW 240 -SCT 20 108/12.0/5.4/1809/CF1SC1AC1CI1  UNOFF
2005/04/16 20:01:55 YVR SA 2000  40 FEW 60 FEW 140 SCT 240 -BKN 20 113/12.3/4.7/1710/CU2SC1AC1CI1  UNOFF
2005/04/16 21:02:31 YVR SA 2100  30 SCT M80 BKN 240 BKN 20 121/11.7/4.5/2112/CU4AC3CI1 2021 RMK TCU ASOCTD UNOFF
2005/04/16 22:01:29 YVR SA 2200  35 FEW M85 BKN 240 BKN 20 125/11.4/4.3/2010/TCU3AC3CI0 RMK SHS NE UNOFF
2005/04/16 23:01:04 YVR SA 2300  40 FEW 100 -SCT 20 133/11.3/4.4/2012G17/TCU2AC1  UNOFF

2005/04/17 00:02:38 YVR SA 0000  40 FEW 110 SCT 230 -SCT 20 137/12.0/4.6/1707/TCU2AC2CI0 2016  UNOFF
2005/04/17 01:01:07 YVR SA 0100  40 FEW 70 FEW 110 SCT 230 -BKN 20 139/11.2/3.2/2211/TCU2AC1AC1CI1  UNOFF
2005/04/17 01:16:54 YVR SP 0114  30 FEW 40 FEW 70 SCT 230 -BKN 20SHRA- ///1909G16/CB1TCU2AC1CI1  UNOFF
2005/04/17 01:32:41 YVR SP 0131  30 FEW 70 FEW 230 -SCT 20 ///2107/CB2AC1CI0 RMK CB NE UNOFF
2005/04/17 02:02:24 YVR SA 0200  30 FEW 80 SCT 230 -BKN 20 139/10.8/4.4/1906/CB1AC3CI0 RMK CB DIST NE UNOFF
2005/04/17 03:03:47 YVR SA 0300  45 FEW 75 -FEW 150 FEW 220 -SCT 20 143/9.6/3.5/1404/SC1AC1AC1CI0 5006  UNOFF
2005/04/17 04:01:24 YVR SA 0400  45 FEW 70 -SCT 230 -BKN 20 146/9.9/3.3/1404/SC1AC2CI0  UNOFF
2005/04/17 05:01:58 YVR SA 0500  80 FEW 220 -SCT 20 146/8.1/3.1/0904/AC2CI0  UNOFF
2005/04/17 06:02:35 YVR SA 0600  M80 BKN 20 147/7.2/4.5/0605/AC7 2004  UNOFF
2005/04/17 07:01:41 YVR SA 0700  M70 BKN 20 146/7.1/4.7/0908/AC8  UNOFF
2005/04/17 08:02:02 YVR SA 0800  M80 BKN 20 147/6.9/4.5/0910/AC8  UNOFF
2005/04/17 09:03:02 YVR SA 0900  M80 BKN 20 146/6.6/4.9/0908/AC7 0001  UNOFF
2005/04/17 10:02:32 YVR SA 1000  M45 BKN 110 BKN 20 144/6.9/4.8/0807/SC6AC2  UNOFF
2005/04/17 11:02:12 YVR SA 1100  45 FEW M90 BKN 15 142/6.8/4.5/0909/SC3AC6  UNOFF
2005/04/17 12:01:55 YVR SA 1200  M60 BKN 80 BKN 15 143/6.9/4.4/1008/SC7AC2 6003  UNOFF
2005/04/17 13:02:46 YVR SA 1300  45 FEW M80 OVC 15 142/6.8/4.7/0911/SC3AC7  UNOFF
2005/04/17 14:01:04 YVR SA 1400  19 SCT M65 BKN 80 OVC 15 147/7.1/4.5/0911/SC4SC3AC3  UNOFF
2005/04/17 14:35:52 YVR SP 1434  19 SCT M60 BKN 80 OVC 12SHRA- ///0910/SC5SC3AC2  UNOFF
2005/04/17 15:03:10 YVR SA 1500  20 SCT M51 BKN 80 OVC 12SHRA- 151/7.3/5.4/1010/SC4SC3AC3 5008  UNOFF
2005/04/17 16:01:53 YVR SA 1600  22 FEW M45 BKN 60 BKN 80 OVC 10SHRA- 155/7.7/5.9/1007/SC3SC4SC2AC1  UNOFF
2005/04/17 17:02:06 YVR SA 1700  20 FEW M45 BKN 60 BKN 80 OVC 10SHRA- 159/8.2/6.6/1110/CF2SC5SC2AC1  UNOFF
2005/04/17 18:02:12 YVR SA 1800  18 SCT M40 BKN 80 BKN 220 OVC 12SHRA- 162/8.7/7.4/0907/SC5SC2AC2CI0 2011 RMK TCU EMBD UNOFF
2005/04/17 18:44:52 YVR SP 1841  18 SCT M35 BKN 60 BKN 80 BKN 15 ///1608/CU4CU2SC2AC1 RMK TCU ASOCTD UNOFF
2005/04/17 19:02:11 YVR SA 1900  20 FEW 35 SCT M50 BKN 90 BKN 15 164/10.2/7.1/1606/TCU3CU2SC2AC2  UNOFF
2005/04/17 20:01:41 YVR SA 2000  30 SCT M40 BKN 120 BKN 230 BKN 20 164/11.0/5.8/1309/TCU4CU2AC1CI1  UNOFF
2005/04/17 21:01:50 YVR SA 2100  32 SCT M110 BKN 230 BKN 20 163/11.3/4.7/1106/TCU4AC2CI1 0001  UNOFF
2005/04/17 22:01:32 YVR SA 2200  35 FEW M100 BKN 230 BKN 20SHRA- 165/11.8/4.4/1810/TCU3AC4CI1 RMK CB TOPS E UNOFF
2005/04/17 22:25:10 YVR SP 2223  35 FEW 110 SCT 230 -BKN 20VCSH ///1709/TCU3AC1CI1  UNOFF
2005/04/17 23:02:20 YVR SA 2300  35 FEW 45 FEW 130 SCT 230 -BKN 20 164/12.3/4.9/1707/CU2CB1AC1CI1 RMK CB S UNOFF

2005/04/18 00:02:37 YVR SA 0000  35 FEW 45 FEW M70 BKN 230 BKN 20 166/11.7/4.7/1505/TCU2CB1AC3CI1 5003  UNOFF
2005/04/18 01:02:51 YVR SA 0100  40 FEW 60 SCT M230 BKN 20 167/12.4/5.3/1607/TCU3SC2CI1  UNOFF
2005/04/18 02:03:55 YVR SA 0200  40 FEW 50 SCT 230 -BKN 20 168/11.7/4.3/1805/TCU1CB3CI0  UNOFF
2005/04/18 03:03:17 YVR SA 0300  35 FEW 130 SCT 220 -BKN 20 173/10.3/5.5/2306/CB2AC2CI0 5007 RMK CB N-NE UNOFF
2005/04/18 04:01:24 YVR SA 0400  35 FEW M75 BKN 220 BKN 20 182/10.1/4.8/2505/SC2AC4CI0  UNOFF
2005/04/18 05:03:09 YVR SA 0500  35 FEW M60 BKN 80 BKN 20SHRA- 190/9.4/4.6/2305/SC1SC6AC1  UNOFF
2005/04/18 06:01:57 YVR SA 0600  M45 BKN 85 OVC 15SHRA- 194/9.1/4.3/0000/SC6AC3 1021 RMK PCPN VRY LGT UNOFF
2005/04/18 06:39:23 YVR SP 0636  45 SCT M75 BKN 85 BKN 15 ///0706/SC5AC2AC1  UNOFF
2005/04/18 07:01:13 YVR SA 0700  M45 BKN 85 OVC 15 199/8.3/4.9/0708/SC6AC3  UNOFF
2005/04/18 08:02:53 YVR SA 0800  28 FEW M42 BKN 80 BKN 15 206/8.0/5.7/0809/SC2SC4AC2  UNOFF
2005/04/18 09:03:15 YVR SA 0900  45 FEW 60 -SCT 80 -BKN 15 210/7.0/5.1/0807/SC2SC1AC1 0016  UNOFF
2005/04/18 09:05:49 YVR SA 0900  45 FEW 60 -SCT 80 -BKN 15 210/7.0/5.1/0807/SC2SC1AC1 2016  UNOFF
Warning: at line 377: duplicated data: prev hr = 1 PST  current hr = 1 PST
2005/04/18 10:03:54 YVR SA 1000  M50 OVC 15 215/7.3/5.2/0705/SC9  UNOFF
2005/04/18 11:02:23 YVR SA 1100  18 SCT M50 BKN 15 221/7.1/5.1/0706/SC4SC5  UNOFF
2005/04/18 12:04:42 YVR SA 1200  18 SCT M50 BKN 15 230/6.6/4.5/0505/SC4SC2 2020  UNOFF
2005/04/18 13:01:44 YVR SA 1300  18 FEW M50 BKN 15 237/6.5/4.5/0405/SC2SC6  UNOFF
2005/04/18 14:01:43 YVR SA 1400  50 SCT 15 245/6.3/4.2/0206/SC4  UNOFF
2005/04/18 15:01:35 YVR SA 1500  50 FEW 15 251/8.1/4.4/0204/SC3 2021  UNOFF
2005/04/18 16:03:38 YVR SA 1600  20 FEW 45 FEW 20 257/9.8/4.9/0000/SC1SC2  UNOFF
2005/04/18 17:01:54 YVR SA 1700  M23 BKN 40 BKN 20 263/9.8/6.3/2707/SC6SC1  UNOFF
2005/04/18 18:02:58 YVR SA 1800  25 SCT 20 267/9.6/6.1/2609/SC4 1016  UNOFF
2005/04/18 19:03:12 YVR SA 1900  35 FEW 20 268/10.3/7.1/2711/SC3  UNOFF
2005/04/18 20:03:23 YVR SA 2000  30 FEW 45 FEW 20 266/10.4/8.4/2710/CU1SC2  UNOFF
2005/04/18 21:04:43 YVR SA 2100  40 FEW 20 266/10.9/7.5/3008/SC3 0001  UNOFF
2005/04/18 22:08:59 YVR SA 2200  40 FEW 20 265/11.8/7.4/2913/SC2  UNOFF
2005/04/18 23:02:23 YVR SA 2300  40 FEW 20 263/12.4/7.0/2915/SC1  UNOFF

2005/04/19 00:05:46 YVR SA 0000  40 FEW 20 259/12.4/7.0/2916/SC1 0007  UNOFF
2005/04/19 01:02:27 YVR SA 0100  40 FEW 20 256/12.3/6.6/3014/SC1  UNOFF
2005/04/19 02:00:57 YVR SA 0200  40 FEW 30 252/11.7/5.4/3014/CF1  UNOFF
2005/04/19 03:01:08 YVR SA 0300  220 FEW 30 253/10.0/6.6/3011/CI1 5006  UNOFF
2005/04/19 04:01:09 YVR SA 0400  220 FEW 30 255/9.7/6.7/3113/CI1  UNOFF
2005/04/19 05:01:00 YVR SA 0500  220 FEW 20 258/9.4/6.4/3011/CI1  UNOFF
2005/04/19 06:01:02 YVR SA 0600  220 FEW 20 261/9.7/5.6/0402/CI1 2008  UNOFF
2005/04/19 07:01:42 YVR SA 0700  220 FEW 20 265/7.8/4.7/0202/CI1  UNOFF
2005/04/19 08:01:03 YVR SA 0800  220 FEW 20 267/7.2/4.6/0602/CI1  UNOFF
2005/04/19 09:01:20 YVR SA 0900  220 FEW 20 266/7.3/5.2/0305/CI1 0005  UNOFF
2005/04/19 10:01:09 YVR SA 1000  CLR 20 265/5.5/3.9/0605/  UNOFF
2005/04/19 11:00:59 YVR SA 1100  CLR 20 268/5.8/3.9/3604/  UNOFF
2005/04/19 12:01:53 YVR SA 1200  220 FEW 20 270/5.6/3.8/0000/CI1 5004  UNOFF
2005/04/19 13:01:45 YVR SA 1300  220 -FEW 20 270/5.7/3.8/0000/CI0  UNOFF
2005/04/19 14:01:07 YVR SA 1400  CLR 20 270/6.3/4.7/2804/  UNOFF
2005/04/19 15:04:06 YVR SA 1500  CLR 20 270/8.4/5.5/3107/ 4000  UNOFF
2005/04/19 16:01:50 YVR SA 1600  CLR 30 269/10.5/6.6/2908/  UNOFF
2005/04/19 17:01:01 YVR SA 1700  CLR 30 268/10.9/6.1/3010/  UNOFF
2005/04/19 18:03:25 YVR SA 1800  230 FEW 30 263/10.8/7.6/2912/CI1 0007 RMK TR CI UNOFF
